Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
40,300,4,3,9.9,56.3,,1.57,0.082,2570,,4.34,0.32,14,1.63,0.51,1,1,,0.985327901
40,600,4,3,22.2,59.2,,1.28,0.151,360,,4.34,,14,1.63,0.51,1,1,,2.455195126
40,300,4,3,1,59.2,,0.39,0.012,230,,4.34,0.32,14,1.63,0.51,1,1,,-0.19180326
40,600,4,3,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,-0.218188899
40,300,4,1,9.9,56.3,,1.57,0.082,2570,,4.34,0.32,14,1.63,0.51,1,1,,0.300700946
40,600,4,1,22.2,59.2,,1.28,0.151,360,,4.34,0.32,14,1.63,0.51,1,1,,0.506248269
40,300,4,1,1,59.2,,0.39,0.012,230,,4.34,0.32,14,1.63,0.51,1,1,,0.038568776
40,600,4,1,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,-0.155503356
7,300,4,3,9.9,56.3,,1.57,0.082,2570,,4.34,0.32,14,1.63,0.51,1,1,,0.954070582
7,600,4,3,22.2,59.2,,1.28,0.151,360,,4.34,,14,1.63,0.51,1,1,,1.81743605
7,300,4,3,1,59.2,,0.39,0.012,230,,4.34,0.32,14,1.63,0.51,1,1,,-0.030131227
7,600,4,3,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,-0.013674778
7,300,4,1,9.9,56.3,,1.57,0.082,2570,,4.34,0.32,14,1.63,0.51,1,1,,0.128020555
7,600,4,1,22.2,59.2,,1.28,0.151,360,,4.34,0.32,14,1.63,0.51,1,1,,0.689415495
7,300,4,1,1,59.2,,0.39,0.012,230,,4.34,0.32,14,1.63,0.51,1,1,,-0.090379525
7,600,4,1,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,0.007184213
345,500,2,0.45,,,30.31,1.4,0.92,,,7.97,,6,,8,2,4,1320,0.362723214
345,500,2,0.45,,,30.31,1.4,0.92,,,7.97,,6,,8,2,4,1320,0.214146658
345,500,2,0.45,,,30.31,1.4,0.92,,,7.97,,6,,8,2,4,1320,0.117679406
345,500,2,0.45,,,30.31,1.4,0.92,,,7.97,,6,,8,2,4,1320,0.115925059
120,400,2,1,,,40.2,0.46,0.0689,26.8,,8,0.339,20,,4.5,1,6,183,0.546877762
120,400,2,1,,,40.2,0.46,0.0689,26.8,,8,,20,,4.5,2,6,183,1.125002455
7,400,2,1,,,40.2,0.46,0.0689,26.8,,8,0.339,20,,4.5,1,6,183,0.515152381
7,400,2,1,,,40.2,0.46,0.0689,26.8,,8,,20,,4.5,2,6,183,1.287880952
0,400,2,1,,,40.2,0.46,0.0689,26.8,,8,0.339,20,,4.5,1,6,183,0.032517043
0,400,2,1,,,40.2,0.46,0.0689,26.8,,8,,20,,4.5,2,6,183,2.585362987
85,,,,,63.7,,2.8,2.6,,,4.29,,4.2,3.35,,2,6,,0.198428291
75,,,,,63.7,,2.8,2.6,,,4.29,,4.2,3.35,,2,6,,0.92394822
90,300,1,6,22.6,47.73,128.7,0.68,0.11,400,18.72,4.6,,11.5,,27,1,1,160,2.4957
90,600,1,6,35.6,53.62,75,0.67,0.21,700,98.72,4.6,,11.5,,27,1,1,160,4.087
90,300,1,6,22.6,47.73,128.7,0.68,0.11,400,18.72,6,,10.4,,48,1,2,190,2.5096
90,600,1,6,35.6,53.62,75,0.67,0.21,700,98.72,6,,10.4,,48,1,2,190,3.7885
90,300,1,6,22.6,47.73,128.7,0.68,0.11,400,18.72,7.4,,7.7,,12,1,1,220,3.7662
90,600,1,6,35.6,53.62,75,0.67,0.21,700,98.72,7.4,,7.7,,12,1,1,220,5.6494
90,300,1,6,22.6,47.73,128.7,0.68,0.11,400,18.72,8.3,,5.9,,13,1,2,360,4.0847
90,600,1,6,35.6,53.62,75,0.67,0.21,700,98.72,8.3,,5.9,,13,1,2,360,6.5254
90,300,1,3,22.6,47.73,128.7,0.68,0.11,400,18.72,4.6,,11.5,,27,1,1,160,1.6261
90,600,1,3,35.6,53.62,75,0.67,0.21,700,98.72,4.6,,11.5,,27,1,1,160,2.3217
90,300,1,3,22.6,47.73,128.7,0.68,0.11,400,18.72,6,,10.4,,48,1,2,190,1.4038
90,600,1,3,35.6,53.62,75,0.67,0.21,700,98.72,6,,10.4,,48,1,2,190,2.2885
90,300,1,3,22.6,47.73,128.7,0.68,0.11,400,18.72,7.4,,7.7,,12,1,1,220,2.2078
90,600,1,3,35.6,53.62,75,0.67,0.21,700,98.72,7.4,,7.7,,12,1,1,220,3.2208
90,300,1,3,22.6,47.73,128.7,0.68,0.11,400,18.72,8.3,,5.9,,13,1,2,360,2.4237
90,600,1,3,35.6,53.62,75,0.67,0.21,700,98.72,8.3,,5.9,,13,1,2,360,3.6271
60,,4,1.5,,,,2.38,,7662.57,,5.45,,2.93,,,1,5,,6.887323944
60,,4,1,,,,2.38,,7662.57,,5.45,,2.93,,,1,6,,5.244131455
60,,4,0.5,,,,2.38,,7662.57,,5.45,,2.93,,,1,5,,1.924882629
180,500,6,0.45,38.2,31,,0.67,0.21,,,8.5,,12.87,,3.4,1,3,770,0.183448276
